#curie_map:					
"#  NCIT: ""http://purl.obolibrary.org/obo/NCIT_"""					
"#  UBERON: ""http://purl.obolibrary.org/obo/UBERON_"""					
"#  owl: ""http://www.w3.org/2002/07/owl#"""					
subject_id	subject_label	predicate_id	predicate_label	object_id	object_label
NCIT:C12664	Abdomen	owl:equivalentClass	equivalent to	UBERON:0003684	abdominal cavity
NCIT:C32038	Abdominal Aorta	owl:equivalentClass	equivalent to	UBERON:0001516	abdominal aorta
NCIT:C12252	Abdominal Esophagus	owl:equivalentClass	equivalent to	UBERON:0035177	abdominal part of esophagus
NCIT:C32040	Abdominal Muscle	owl:equivalentClass	equivalent to	UBERON:0002378	muscle of abdomen
NCIT:C52758	Abdominal Skin	owl:equivalentClass	equivalent to	UBERON:0001416	skin of abdomen
NCIT:C77608	Abdominal Wall	owl:equivalentClass	equivalent to	UBERON:0003697	abdominal wall
NCIT:C12665	Abducens Nerve	owl:equivalentClass	equivalent to	UBERON:0001646	abducens nerve
NCIT:C12836	Abducens Nucleus	owl:equivalentClass	equivalent to	UBERON:0002682	abducens nucleus
NCIT:C52888	Abductor Pollicis Longus	owl:equivalentClass	equivalent to	UBERON:0001527	abductor pollicis longus
NCIT:C74586	Accessory Lacrimal Gland	owl:equivalentClass	equivalent to	UBERON:0013226	accessory lacrimal gland
NCIT:C32042	Acetabulum	owl:equivalentClass	equivalent to	UBERON:0001269	acetabular part of hip bone
NCIT:C32047	Acromioclavicular Joint	owl:equivalentClass	equivalent to	UBERON:0003692	acromioclavicular joint
NCIT:C32048	Acromion	owl:equivalentClass	equivalent to	UBERON:0002497	acromion
NCIT:C12472	Adipose Tissue	owl:equivalentClass	equivalent to	UBERON:0001013	adipose tissue
NCIT:C12396	Adrenal Cortex	owl:equivalentClass	equivalent to	UBERON:0001235	adrenal cortex
NCIT:C12666	Adrenal Gland	owl:equivalentClass	equivalent to	UBERON:0002369	adrenal gland
NCIT:C32050	Adrenal Gland Capsule	owl:equivalentClass	equivalent to	UBERON:0002052	adrenal gland capsule
NCIT:C32051	Adrenal Gland Tissue	owl:equivalentClass	equivalent to	UBERON:0018303	adrenal tissue
NCIT:C12397	Adrenal Medulla	owl:equivalentClass	equivalent to	UBERON:0001236	adrenal medulla
NCIT:C89842	Airway	owl:equivalentClass	equivalent to	UBERON:0001005	respiratory airway
NCIT:C125189	Alimentary Bolus	owl:equivalentClass	equivalent to	UBERON:0012113	bolus of food
NCIT:C34101	Allantois	owl:equivalentClass	equivalent to	UBERON:0004340	allantois
NCIT:C52848	Alveolar Artery	owl:equivalentClass	equivalent to	UBERON:0009654	alveolar artery
NCIT:C89749	Alveolar Ridge	owl:equivalentClass	equivalent to	UBERON:0004103	alveolar ridge
NCIT:C32057	Alveolar Sac	owl:equivalentClass	equivalent to	UBERON:0002169	alveolar sac
NCIT:C13085	Alveolar Wall	owl:equivalentClass	equivalent to	UBERON:0004894	alveolar wall
NCIT:C12986	Alveolus	owl:equivalentClass	equivalent to	UBERON:0002299	alveolus of lung
NCIT:C12365	Amnion	owl:equivalentClass	equivalent to	UBERON:0000305	amnion
NCIT:C34102	Amniotic Cavity	owl:equivalentClass	equivalent to	UBERON:0000301	amniotic cavity
NCIT:C13188	Amniotic Fluid	owl:equivalentClass	equivalent to	UBERON:0000173	amniotic fluid
NCIT:C32061	Amphiarthrosis	owl:equivalentClass	equivalent to	UBERON:0011874	amphiarthrosis
NCIT:C12440	Amygdala	owl:equivalentClass	equivalent to	UBERON:0001876	amygdala
NCIT:C12375	Anal Canal	owl:equivalentClass	equivalent to	UBERON:0000159	anal canal
NCIT:C32067	Anal Column	owl:equivalentClass	equivalent to	UBERON:0009882	anal column
NCIT:C34105	Anal Membrane	owl:equivalentClass	equivalent to	UBERON:0009195	anal membrane
NCIT:C60784	Anal Mucosa	owl:equivalentClass	equivalent to	UBERON:0003342	mucosa of anal canal
NCIT:C32069	Anal Region	owl:equivalentClass	equivalent to	UBERON:0001353	anal region
NCIT:C125896	Anal Sac	owl:equivalentClass	equivalent to	UBERON:0008978	anal sac
NCIT:C32070	Anal Sinus	owl:equivalentClass	equivalent to	UBERON:0035243	anal sinus
NCIT:C34106	Angioblastic Cord	owl:equivalentClass	equivalent to	UBERON:0034877	angioblastic cord
NCIT:C32077	Angular Gyrus	owl:equivalentClass	equivalent to	UBERON:0002686	angular gyrus
NCIT:C32078	Ankle Joint	owl:equivalentClass	equivalent to	UBERON:0001488	ankle joint
NCIT:C52751	Ankle Skin	owl:equivalentClass	equivalent to	UBERON:0001512	skin of ankle
NCIT:C52890	Anterior Abdominal Wall Muscle	owl:equivalentClass	equivalent to	UBERON:0002461	anterior abdominal wall muscle
NCIT:C53027	Anterior Auricular Vein	owl:equivalentClass	equivalent to	UBERON:0001662	anterior auricular vein
NCIT:C34108	Anterior Cardinal Vein	owl:equivalentClass	equivalent to	UBERON:0003087	anterior cardinal vein
NCIT:C12829	Anterior Cerebral Artery	owl:equivalentClass	equivalent to	UBERON:0001624	anterior cerebral artery
NCIT:C32082	Anterior Cerebral Artery Branch	owl:equivalentClass	equivalent to	UBERON:0035380	branch of anterior cerebral artery
NCIT:C12667	Anterior Chamber of the Eye	owl:equivalentClass	equivalent to	UBERON:0001766	anterior chamber of eyeball
NCIT:C32083	Anterior Choroidal Artery	owl:equivalentClass	equivalent to	UBERON:0014696	anterior choroidal artery
NCIT:C32086	Anterior Commissure	owl:equivalentClass	equivalent to	UBERON:0000935	anterior commissure
NCIT:C32087	Anterior Communicating Artery	owl:equivalentClass	equivalent to	UBERON:0006764	anterior communicating artery
NCIT:C32090	Anterior Cranial Fossa	owl:equivalentClass	equivalent to	UBERON:0003720	anterior cranial fossa
NCIT:C32088	Anterior Cruciate Ligament	owl:equivalentClass	equivalent to	UBERON:0003671	anterior cruciate ligament of knee joint
NCIT:C12668	Anterior Eye Segment	owl:equivalentClass	equivalent to	UBERON:0001801	anterior segment of eyeball
NCIT:C52687	Anterior Facial Vein	owl:equivalentClass	equivalent to	UBERON:0035675	anterior facial vein
NCIT:C32091	Anterior Inferior Cerebellar Artery	owl:equivalentClass	equivalent to	UBERON:0009689	anterior inferior cerebellar artery
NCIT:C32094	Anterior Jugular Vein	owl:equivalentClass	equivalent to	UBERON:0001104	anterior jugular vein
NCIT:C32095	Anterior Longitudinal Ligament	owl:equivalentClass	equivalent to	UBERON:0035419	anterior longitudinal ligament
NCIT:C32096	Anterior Median Fissure of the Spinal Cord	owl:equivalentClass	equivalent to	UBERON:0035319	anterior median fissure of spinal cord
NCIT:C32097	Anterior Mediastinal Lymph Node	owl:equivalentClass	equivalent to	UBERON:0035520	anterior mediastinal lymph node
NCIT:C32098	Anterior Mediastinum	owl:equivalentClass	equivalent to	UBERON:0008820	anterior mediastinum
NCIT:C32099	Anterior Meningeal Artery	owl:equivalentClass	equivalent to	UBERON:0010251	anterior meningeal artery
NCIT:C52710	Anterior Olfactory Nucleus	owl:equivalentClass	equivalent to	UBERON:0002266	anterior olfactory nucleus
NCIT:C32101	Anterior Parietal Artery	owl:equivalentClass	equivalent to	UBERON:0035462	anterior parietal artery
NCIT:C32103	Anterior Pole of the Lens	owl:equivalentClass	equivalent to	UBERON:0019208	anterior pole of lens
NCIT:C12833	Anterior Spinal Artery	owl:equivalentClass	equivalent to	UBERON:0005431	anterior spinal artery
NCIT:C32107	Anterior Surface of the Kidney	owl:equivalentClass	equivalent to	UBERON:0035368	anterior surface of kidney
NCIT:C32108	Anterior Surface of the Lens	owl:equivalentClass	equivalent to	UBERON:0005614	lens anterior epithelium
NCIT:C13089	Anterior Surface of the Prostate	owl:equivalentClass	equivalent to	UBERON:0035523	anterior surface of prostate
NCIT:C32113	Anterior Temporal Artery	owl:equivalentClass	equivalent to	UBERON:0035225	anterior temporal artery
NCIT:C12825	Anterior Tibial Artery	owl:equivalentClass	equivalent to	UBERON:0001537	anterior tibial artery
NCIT:C32115	Anterior Tibial Vein	owl:equivalentClass	equivalent to	UBERON:0001545	anterior tibial vein
NCIT:C32120	Antihelix	owl:equivalentClass	equivalent to	UBERON:0016466	antihelix
NCIT:C32121	Antitragus	owl:equivalentClass	equivalent to	UBERON:0016467	antitragus
NCIT:C43362	Anus	owl:equivalentClass	equivalent to	UBERON:0001245	anus
NCIT:C12669	Aorta	owl:equivalentClass	equivalent to	UBERON:0000947	aorta
NCIT:C49190	Aorta Endothelium	owl:equivalentClass	equivalent to	UBERON:0004851	aorta endothelium
NCIT:C49191	Aorta Smooth Muscle Tissue	owl:equivalentClass	equivalent to	UBERON:0004178	aorta smooth muscle tissue
NCIT:C32123	Aortic Arch	owl:equivalentClass	equivalent to	UBERON:0001508	arch of aorta
NCIT:C97112	Aortic Body	owl:equivalentClass	equivalent to	UBERON:0034971	aortic body
NCIT:C12670	Aortic Valve	owl:equivalentClass	equivalent to	UBERON:0002137	aortic valve
NCIT:C32126	Apex of the Heart	owl:equivalentClass	equivalent to	UBERON:0002098	apex of heart
NCIT:C13087	Apex of the Prostate	owl:equivalentClass	equivalent to	UBERON:0035441	apex of prostate
NCIT:C34109	Apical Ectodermal Ridge	owl:equivalentClass	equivalent to	UBERON:0004356	apical ectodermal ridge
NCIT:C32132	Apocrine Sweat Gland	owl:equivalentClass	equivalent to	UBERON:0000382	apocrine sweat gland
NCIT:C32133	Aponeurosis	owl:equivalentClass	equivalent to	UBERON:0006614	aponeurosis
NCIT:C61460	Appendage	owl:equivalentClass	equivalent to	UBERON:0000026	appendage
NCIT:C49477	Appendicular Skeleton	owl:equivalentClass	equivalent to	UBERON:0002091	appendicular skeleton
NCIT:C12380	Appendix	owl:equivalentClass	equivalent to	UBERON:0001154	vermiform appendix
NCIT:C13190	Aqueous Humor	owl:equivalentClass	equivalent to	UBERON:0001796	aqueous humor of eyeball
NCIT:C32137	Arachnoid Villus	owl:equivalentClass	equivalent to	UBERON:0013153	arachnoid villus
NCIT:C12368	Areola	owl:equivalentClass	equivalent to	UBERON:0002032	areola
NCIT:C32141	Arm	owl:equivalentClass	equivalent to	UBERON:0003822	forelimb stylopod
NCIT:C52754	Arm Skin	owl:equivalentClass	equivalent to	UBERON:0002427	arm skin
NCIT:C49329	Arterial System Endothelium	owl:equivalentClass	equivalent to	UBERON:0004700	arterial system endothelium
NCIT:C12672	Arteriole	owl:equivalentClass	equivalent to	UBERON:0001980	arteriole
NCIT:C49192	Arteriole Endothelium	owl:equivalentClass	equivalent to	UBERON:0001916	endothelium of arteriole
NCIT:C12372	Artery	owl:equivalentClass	equivalent to	UBERON:0001637	artery
NCIT:C49194	Artery Endothelium	owl:equivalentClass	equivalent to	UBERON:0001917	endothelium of artery
NCIT:C49195	Artery Smooth Muscle Tissue	owl:equivalentClass	equivalent to	UBERON:0002111	artery smooth muscle tissue
NCIT:C32144	Articular Cartilage	owl:equivalentClass	equivalent to	UBERON:0010996	articular cartilage of joint
NCIT:C32147	Aryepiglottic Fold	owl:equivalentClass	equivalent to	UBERON:0014385	aryepiglottic fold
NCIT:C32146	Aryepiglottic Muscle	owl:equivalentClass	equivalent to	UBERON:0011025	aryepiglotticus muscle
NCIT:C32148	Arytenoid Cartilage	owl:equivalentClass	equivalent to	UBERON:0001740	arytenoid cartilage
NCIT:C32149	Arytenoid Muscle	owl:equivalentClass	equivalent to	UBERON:0010958	arytenoid muscle
NCIT:C32150	Ascending Aorta	owl:equivalentClass	equivalent to	UBERON:0001496	ascending aorta
NCIT:C12265	Ascending Colon	owl:equivalentClass	equivalent to	UBERON:0001156	ascending colon
NCIT:C32154	Ascending Limb of Henle's Loop	owl:equivalentClass	equivalent to	UBERON:0005164	ascending limb of loop of Henle
NCIT:C32157	Atlanto-Axial Joint	owl:equivalentClass	equivalent to	UBERON:0003694	atlanto-axial joint
NCIT:C32158	Atlanto-Occipital Joint	owl:equivalentClass	equivalent to	UBERON:0000220	atlanto-occipital joint
NCIT:C32160	Atrioventricular Bundle	owl:equivalentClass	equivalent to	UBERON:0002353	atrioventricular bundle
NCIT:C32161	Atrioventricular Node	owl:equivalentClass	equivalent to	UBERON:0002352	atrioventricular node
NCIT:C52712	Auditory Cortex	owl:equivalentClass	equivalent to	UBERON:0001393	auditory cortex
NCIT:C32164	Auditory Ossicle	owl:equivalentClass	equivalent to	UBERON:0001686	auditory ossicle bone
NCIT:C12889	Auditory System	owl:equivalentClass	equivalent to	UBERON:0016490	auditory system
NCIT:C32165	Auricle	owl:equivalentClass	equivalent to	UBERON:0001757	pinna
NCIT:C52849	Auricular Artery	owl:equivalentClass	equivalent to	UBERON:0009655	auricular artery
NCIT:C77673	Auricular Vein	owl:equivalentClass	equivalent to	UBERON:0006197	auricular vein
NCIT:C12720	Autonomic Ganglion	owl:equivalentClass	equivalent to	UBERON:0001805	autonomic ganglion
NCIT:C12673	Autonomic Nervous System	owl:equivalentClass	equivalent to	UBERON:0002410	autonomic nervous system
NCIT:C32172	Axial Skeleton	owl:equivalentClass	equivalent to	UBERON:0005944	axial skeleton plus cranial skeleton
NCIT:C12674	Axilla	owl:equivalentClass	equivalent to	UBERON:0009472	axilla
NCIT:C32169	Axillary Artery	owl:equivalentClass	equivalent to	UBERON:0001394	axillary artery
NCIT:C12904	Axillary Lymph Node	owl:equivalentClass	equivalent to	UBERON:0001097	axillary lymph node
NCIT:C52817	Axillary Nerve	owl:equivalentClass	equivalent to	UBERON:0001493	axillary nerve
NCIT:C12305	Axillary Tail of the Breast	owl:equivalentClass	equivalent to	UBERON:0035289	axillary tail of breast
NCIT:C32171	Axillary Vein	owl:equivalentClass	equivalent to	UBERON:0000985	axillary vein
NCIT:C53029	Azygos Vein	owl:equivalentClass	equivalent to	UBERON:0001594	azygos vein
NCIT:C13062	Back	owl:equivalentClass	equivalent to	UBERON:0001137	dorsum
NCIT:C12447	Basal Ganglia	owl:equivalentClass	equivalent to	UBERON:0010011	collection of basal ganglia
NCIT:C32189	Basal Layer of the Endometrium	owl:equivalentClass	equivalent to	UBERON:0022355	basal layer of endometrium
NCIT:C34111	Basal Plate	owl:equivalentClass	equivalent to	UBERON:0004064	neural tube basal plate
NCIT:C13088	Base of the Prostate	owl:equivalentClass	equivalent to	UBERON:0035331	base of prostate
NCIT:C12676	Basilar Artery	owl:equivalentClass	equivalent to	UBERON:0001633	basilar artery
NCIT:C32195	Basilar Artery Branch	owl:equivalentClass	equivalent to	UBERON:0035489	branch of basilar artery
NCIT:C32197	Basilic Vein	owl:equivalentClass	equivalent to	UBERON:0001411	basilic vein
NCIT:C32200	Biceps	owl:equivalentClass	equivalent to	UBERON:0001507	biceps brachii
NCIT:C53147	Biceps Femoris	owl:equivalentClass	equivalent to	UBERON:0001374	biceps femoris
NCIT:C13192	Bile	owl:equivalentClass	equivalent to	UBERON:0001970	bile
NCIT:C32202	Bile Canaliculus	owl:equivalentClass	equivalent to	UBERON:0001283	bile canaliculus
NCIT:C12376	Bile Duct	owl:equivalentClass	equivalent to	UBERON:0002394	bile duct
NCIT:C43616	Bile Duct Epithelium	owl:equivalentClass	equivalent to	UBERON:0004820	bile duct epithelium
NCIT:C12414	Bladder	owl:equivalentClass	equivalent to	UBERON:0001255	urinary bladder
NCIT:C48939	Bladder Fundus	owl:equivalentClass	equivalent to	UBERON:0006082	fundus of urinary bladder
NCIT:C48940	Bladder Lamina Propria	owl:equivalentClass	equivalent to	UBERON:0001261	lamina propria of urinary bladder
NCIT:C32205	Bladder Mucosa	owl:equivalentClass	equivalent to	UBERON:0001259	mucosa of urinary bladder
NCIT:C32206	Bladder Muscular Coat	owl:equivalentClass	equivalent to	UBERON:0012378	muscle layer of urinary bladder
NCIT:C32207	Bladder Muscularis Mucosa	owl:equivalentClass	equivalent to	UBERON:0006912	urinary bladder muscularis mucosa
NCIT:C12336	Bladder Neck	owl:equivalentClass	equivalent to	UBERON:0001258	neck of urinary bladder
NCIT:C12331	Bladder Trigone	owl:equivalentClass	equivalent to	UBERON:0001257	trigone of urinary bladder
NCIT:C32211	Bladder Urothelium	owl:equivalentClass	equivalent to	UBERON:0004645	urinary bladder urothelium
NCIT:C48941	Bladder Wall	owl:equivalentClass	equivalent to	UBERON:0001256	wall of urinary bladder
NCIT:C13739	Blastocyst	owl:equivalentClass	equivalent to	UBERON:0000358	blastocyst
NCIT:C12434	Blood	owl:equivalentClass	equivalent to	UBERON:0000178	blood
NCIT:C32212	Blood Capillary	owl:equivalentClass	equivalent to	UBERON:0001982	capillary
NCIT:C34113	Blood Island	owl:equivalentClass	equivalent to	UBERON:0003061	blood island
NCIT:C12679	Blood Vessel	owl:equivalentClass	equivalent to	UBERON:0001981	blood vessel
NCIT:C53395	Blood Vessel Endothelium	owl:equivalentClass	equivalent to	UBERON:0004638	blood vessel endothelium
NCIT:C13194	Blood-Brain Barrier	owl:equivalentClass	equivalent to	UBERON:0000120	blood brain barrier
NCIT:C13041	Body	owl:equivalentClass	equivalent to	UBERON:0000468	multicellular organism
NCIT:C12258	Body of Stomach	owl:equivalentClass	equivalent to	UBERON:0001161	body of stomach
NCIT:C32216	Body of the Corpus Callosum	owl:equivalentClass	equivalent to	UBERON:0015510	body of corpus callosum
NCIT:C32217	Body of the Epididymis	owl:equivalentClass	equivalent to	UBERON:0004359	corpus epididymis
NCIT:C32218	Body of the Lateral Ventricle	owl:equivalentClass	equivalent to	UBERON:0002655	body of lateral ventricle
NCIT:C12270	Body of the Pancreas	owl:equivalentClass	equivalent to	UBERON:0001150	body of pancreas
NCIT:C12366	Bone	owl:equivalentClass	equivalent to	UBERON:0001474	bone element
NCIT:C12431	Bone Marrow	owl:equivalentClass	equivalent to	UBERON:0002371	bone marrow
