#curie_map:
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	predicate_id	predicate_label	object_id
NCIT:C32509	owl:equivalentClass	equivalent to	UBERON:0000016
NCIT:C33224	owl:equivalentClass	equivalent to	UBERON:0000020
NCIT:C33027	owl:equivalentClass	equivalent to	UBERON:0000029
NCIT:C32692	owl:equivalentClass	equivalent to	UBERON:0000037
NCIT:C52556	owl:equivalentClass	equivalent to	UBERON:0000038
NCIT:C13169	owl:equivalentClass	equivalent to	UBERON:0000042
NCIT:C13250	owl:equivalentClass	equivalent to	UBERON:0000074
NCIT:C34076	owl:equivalentClass	equivalent to	UBERON:0000075
NCIT:C34309	owl:equivalentClass	equivalent to	UBERON:0000076
NCIT:C12415	owl:equivalentClass	equivalent to	UBERON:0000082
NCIT:C34207	owl:equivalentClass	equivalent to	UBERON:0000084
NCIT:C34112	owl:equivalentClass	equivalent to	UBERON:0000091
NCIT:C12601	owl:equivalentClass	equivalent to	UBERON:0000106
NCIT:C34260	owl:equivalentClass	equivalent to	UBERON:0000118
NCIT:C34282	owl:equivalentClass	equivalent to	UBERON:0000118
NCIT:C41407	owl:equivalentClass	equivalent to	UBERON:0000121
NCIT:C12898	owl:equivalentClass	equivalent to	UBERON:0000127
NCIT:C34322	owl:equivalentClass	equivalent to	UBERON:0000164
NCIT:C77666	owl:equivalentClass	equivalent to	UBERON:0000172
NCIT:C93028	owl:equivalentClass	equivalent to	UBERON:0000180
NCIT:C32290	owl:equivalentClass	equivalent to	UBERON:0000200
NCIT:C32707	owl:equivalentClass	equivalent to	UBERON:0000329
NCIT:C13261	owl:equivalentClass	equivalent to	UBERON:0000347
NCIT:C22174	owl:equivalentClass	equivalent to	UBERON:0000359
NCIT:C32779	owl:equivalentClass	equivalent to	UBERON:0000375
NCIT:C62404	owl:equivalentClass	equivalent to	UBERON:0000381
NCIT:C32322	owl:equivalentClass	equivalent to	UBERON:0000396
NCIT:C12675	owl:equivalentClass	equivalent to	UBERON:0000460
NCIT:C61122	owl:equivalentClass	equivalent to	UBERON:0000461
NCIT:C13236	owl:equivalentClass	equivalent to	UBERON:0000463
NCIT:C12919	owl:equivalentClass	equivalent to	UBERON:0000467
NCIT:C32221	owl:equivalentClass	equivalent to	UBERON:0000475
NCIT:C32186	owl:equivalentClass	equivalent to	UBERON:0000482
NCIT:C33622	owl:equivalentClass	equivalent to	UBERON:0000486
NCIT:C33554	owl:equivalentClass	equivalent to	UBERON:0000490
NCIT:C13075	owl:equivalentClass	equivalent to	UBERON:0000933
NCIT:C12761	owl:equivalentClass	equivalent to	UBERON:0000941
NCIT:C12511	owl:equivalentClass	equivalent to	UBERON:0000988
NCIT:C77957	owl:equivalentClass	equivalent to	UBERON:0000993
NCIT:C12413	owl:equivalentClass	equivalent to	UBERON:0001008
NCIT:C13056	owl:equivalentClass	equivalent to	UBERON:0001015
NCIT:C32586	owl:equivalentClass	equivalent to	UBERON:0001019
NCIT:C32349	owl:equivalentClass	equivalent to	UBERON:0001020
NCIT:C34275	owl:equivalentClass	equivalent to	UBERON:0001048
NCIT:C12219	owl:equivalentClass	equivalent to	UBERON:0001062
NCIT:C32577	owl:equivalentClass	equivalent to	UBERON:0001067
