defined_class	defined_class_label	external	external_label
http://purl.obolibrary.org/obo/NCIT_C12664	Abdomen	http://purl.obolibrary.org/obo/UBERON_0003684	abdominal cavity
http://purl.obolibrary.org/obo/NCIT_C32038	Abdominal Aorta	http://purl.obolibrary.org/obo/UBERON_0001516	abdominal aorta
http://purl.obolibrary.org/obo/NCIT_C12252	Abdominal Esophagus	http://purl.obolibrary.org/obo/UBERON_0035177	abdominal part of esophagus
http://purl.obolibrary.org/obo/NCIT_C32040	Abdominal Muscle	http://purl.obolibrary.org/obo/UBERON_0002378	muscle of abdomen
http://purl.obolibrary.org/obo/NCIT_C52758	Abdominal Skin	http://purl.obolibrary.org/obo/UBERON_0001416	skin of abdomen
http://purl.obolibrary.org/obo/NCIT_C77608	Abdominal Wall	http://purl.obolibrary.org/obo/UBERON_0003697	abdominal wall
http://purl.obolibrary.org/obo/NCIT_C12665	Abducens Nerve	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve
http://purl.obolibrary.org/obo/NCIT_C12836	Abducens Nucleus	http://purl.obolibrary.org/obo/UBERON_0002682	abducens nucleus
http://purl.obolibrary.org/obo/NCIT_C52888	Abductor Pollicis Longus	http://purl.obolibrary.org/obo/UBERON_0001527	abductor pollicis longus
http://purl.obolibrary.org/obo/NCIT_C74586	Accessory Lacrimal Gland	http://purl.obolibrary.org/obo/UBERON_0013226	accessory lacrimal gland
http://purl.obolibrary.org/obo/NCIT_C32042	Acetabulum	http://purl.obolibrary.org/obo/UBERON_0001269	acetabular part of hip bone
http://purl.obolibrary.org/obo/NCIT_C32047	Acromioclavicular Joint	http://purl.obolibrary.org/obo/UBERON_0003692	acromioclavicular joint
http://purl.obolibrary.org/obo/NCIT_C32048	Acromion	http://purl.obolibrary.org/obo/UBERON_0002497	acromion
http://purl.obolibrary.org/obo/NCIT_C12472	Adipose Tissue	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue
http://purl.obolibrary.org/obo/NCIT_C12396	Adrenal Cortex	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/NCIT_C12666	Adrenal Gland	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/NCIT_C32050	Adrenal Gland Capsule	http://purl.obolibrary.org/obo/UBERON_0002052	adrenal gland capsule
http://purl.obolibrary.org/obo/NCIT_C32051	Adrenal Gland Tissue	http://purl.obolibrary.org/obo/UBERON_0018303	adrenal tissue
http://purl.obolibrary.org/obo/NCIT_C12397	Adrenal Medulla	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla
http://purl.obolibrary.org/obo/NCIT_C89842	Airway	http://purl.obolibrary.org/obo/UBERON_0001005	respiratory airway
http://purl.obolibrary.org/obo/NCIT_C125189	Alimentary Bolus	http://purl.obolibrary.org/obo/UBERON_0012113	bolus of food
http://purl.obolibrary.org/obo/NCIT_C34101	Allantois	http://purl.obolibrary.org/obo/UBERON_0004340	allantois
http://purl.obolibrary.org/obo/NCIT_C52848	Alveolar Artery	http://purl.obolibrary.org/obo/UBERON_0009654	alveolar artery
http://purl.obolibrary.org/obo/NCIT_C89749	Alveolar Ridge	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge
